Brand,model,transmission,fuelType,year,mileage,tax,mpg,engineSize,paintQuality%,previousOwners,price
Ford, Kuga,Semi-Auto,Diesel,2017,28556.0,145.0,54.3,2.0,92.0,3,16500
Opel, Adam,Manual,Petrol,2015,18996.0,125.0,53.3,1.2,83.0,1,6979
Ford, Ka+,Manual,Petrol,2018,8355.0,145.0,57.7,1.2,49.0,3,8750
Skoda, Superb,Automatic,Diesel,2019,49900.0,145.0,,2.0,66.0,4,13980
Mercedes, GLC Class,Semi-Auto,Diesel,2016,27634.0,125.0,56.5,2.1,32.0,0,27102
VW, Tiguan,Semi-Auto,Diesel,2017,25049.0,150.0,44.1,2.0,89.0,4,25990
BMW, 4 Series,Automatic,Diesel,2018,3500.0,145.0,55.4,3.0,89.0,0,20995
Ford, Fiesta,Manual,Petrol,2019,1069.0,145.0,,1.1,31.0,3,12491
VW, Touareg,Semi-Auto,Diesel,2016,31713.0,240.0,42.8,3.0,87.0,0,21995
BMW, 1 Series,Automatic,Petrol,2018,38527.0,145.0,,1.5,59.0,2,12800
VW, Passat,Manual,Diesel,2017,23895.0,20.0,67.3,2.0,90.0,2,13995
Opel, Insignia,Manual,Diesel,2018,23149.0,145.0,64.2,1.6,85.0,1,12500
Toyota, RAV4,Manual,Diesel,2007,120870.0,235.0,42.8,2.2,37.0,0,2991
Mercedes, E Class,Automatic,Diesel,2019,8000.0,145.0,45.6,2.0,86.0,0,31995
Skoda, Karoq,Manual,Diesel,2019,4099.0,,42.8,2.0,90.0,0,23990
Mercedes, C Class,Semi-Auto,Diesel,2015,37020.0,30.0,65.7,1.6,46.0,1,13500
Opel, Mokka X,Semi-Auto,Petrol,2017,18600.0,150.0,43.5,1.4,37.0,3,12038
, Focus,,Petrol,2019,12560.0,145.0,41.5,1.0,82.0,0,16598
VW, Golf,Semi-Auto,Diesel,2019,7231.0,145.0,,2.0,,4,25490
Ford, Kuga,Semi-Auto,Diesel,2016,41607.0,145.0,,2.0,53.0,0,13870
, Focus,Manual,Petrol,2015,49327.0,20.0,60.1,1.0,96.0,4,8000
BMW, X1,Automatic,Diesel,2017,22461.0,145.0,65.7,2.0,66.0,1,18000
Mercedes, gla class,Semi-Auto,Diesel,2017,12501.0,145.0,,2.1,61.0,3,20999
Mercedes, C Class,Automatic,Petrol,2019,6902.0,,45.6,1.5,40.0,3,26500
Skoda, Octavia,Automatic,Diesel,2017,56526.0,145.0,57.7,2.0,41.0,0,13999
Audi, Q3,Manual,Petrol,2018,10429.0,145.0,49.6,1.4,42.0,1,21755
Mercedes, A Class,Semi-Auto,Diesel,2015,32230.0,,68.9,1.5,67.0,0,13022
Ford, KA,Manual,Petrol,2015,82584.13442011928,30.0,57.7,1.2,57.0,0,5192
BMW, 2 Series,Manual,Diesel,2017,24216.0,,64.2,2.0,99.0,2,15999
Mercedes, GLA Class,Manual,Diesel,2017,27248.0,20.0,67.3,2.1,44.0,1,16810
Audi, A7,Semi-Auto,Diesel,2019,5724.0,145.0,48.7,2.0,46.0,4,30950
Ford, Focus,Manual,Petrol,2017,25459.0,,60.1,1.0,65.0,2,10900
Skoda, Superb,Automatic,Petrol,2017,10629.0,160.0,44.8,2.0,83.0,4,19950
VW, Gol,Semi-Auto,Petrol,2018,7118.0,145.0,55.4,1.5,64.0,2,18495
VW, Golf,Manual,Petrol,2019,14953.0,145.0,,1.0,39.0,0,15480
VW, Touareg,Semi-Auto,Diesel,2020,8000.0,145.0,34.5,3.0,53.0,1,44999
VW, Pol,Manual,Petrol,2019,4250.0,145.0,49.6,1.0,52.0,4,16995
BMW, 1 Series,Semi-Auto,Petrol,2019,2635.0,,54.3,1.5,94.0,3,19940
Ford, Focus,Manual,Diesel,2015,47192.0,20.0,67.3,1.6,54.0,3,7700
Opel, Corsa,Manual,Petrol,2017,13460.0,,55.4,1.4,90.0,3,7569
BMW, 1 Serie,Manual,Diesel,2012,85827.0,30.0,62.8,2.0,84.0,0,7899
Ford, Ka+,Manual,Petrol,2019,4777.0,145.0,43.5,1.2,54.0,1,10795
, C Class,Automatic,Diesel,2017,50369.0,20.0,65.7,2.1,80.0,4,13800
Mercedes, GLC Class,Automatic,Petrol,2019,1852.0,145.0,,2.0,37.0,1,31995
Audi, TT,Manual,Petrol,2016,20674.0,160.0,46.3,2.0,93.0,2,17498
Audi, A3,Semi-Auto,Hybrid,2015,48954.0,0.0,176.6,1.4,57.0,2,16000
Ford, Galaxy,Manual,Diesel,2016,30528.0,,56.5,2.0,66.0,2,18498
Opel, Astra,Automatic,Diesel,2014,53146.0,200.0,48.7,2.0,31.0,0,5800
Opel, Corsa,Manual,Petrol,2017,33927.0,145.0,55.4,1.4,75.0,4,7000
BMW,,Automatic,Petrol,2019,7951.0,,47.9,2.0,30.0,0,23950
Opel, Astra,Manual,Petrol,2019,18874.0,,46.3,1.4,78.0,3,13359
,,Automatic,Diesel,2019,3986.0,145.0,47.1,2.0,98.0,2,36990
Opel, Corsa,Manual,Petrol,2019,10770.0,150.0,44.8,1.4,84.0,,10698
Hyundai, IX20,Manual,Petrol,2017,12836.0,145.0,50.4,1.4,65.0,,9490
Ford, Fiesta,Manual,,2018,26915.0,145.0,58.9,1.5,96.0,1,11060
Skoda, Superb,Semi-Auto,Diesel,2017,16726.0,150.0,,2.0,91.0,2,19361
Skoda, Octavia,Semi-Auto,Diesel,2016,39692.0,30.0,64.2,2.0,93.0,4,10960
Audi, Q3,Manual,Diesel,2019,5000.0,145.0,42.8,2.0,46.0,0,26990
Toyota, Yaris,Manual,Petrol,2017,17049.0,316.2963063608744,58.9,1.5,59.0,0,10395
Mercedes, A Class,Automatic,Petrol,,18000.0,145.0,53.3,1.3,94.0,2,20495
Toyota, Yaris,Manual,Diesel,2017,34000.0,0.0,80.7,1.4,67.0,3,8295
Skoda, Citigo,Manual,Petrol,2016,25694.0,20.0,62.8,1.0,75.0,3,6995
Opel, Corsa,Manual,Petrol,2016,7312.0,30.0,55.4,1.4,42.0,2,7898
BMW, X3,Semi-Auto,Diesel,2015,41567.0,145.0,,2.0,34.0,0,19500
Audi, A4,Semi-Auto,Diesel,2017,70500.0,20.0,72.4,2.0,81.0,4,14485
Opel, Mokka,Manual,Diesel,2015,17385.0,20.0,68.9,1.6,33.0,2,9500
Opel, Insignia,Manual,Petrol,2017,23731.0,150.0,,1.5,62.0,3,11699
Ford, EcoSport,Manual,Petrol,2019,2500.0,145.0,51.4,1.0,60.0,0,16999
VW,,Semi-Auto,Petrol,2020,3200.0,145.0,47.1,,34.0,1,20891
Ford, Focus,Manual,Diesel,2018,20932.0,145.0,74.3,1.5,86.0,4,11998
Mercedes, B Class,Automatic,,2019,12819.0,145.0,45.6,1.3,64.0,1,20900
Ford, Focus,Automatic,Petrol,2019,4146.0,145.0,47.9,1.5,76.0,4,18999
Mercedes, GLA Class,Semi-Auto,Diesel,2019,11810.0,145.0,67.3,,46.0,3,22949
,Polo,Manual,Petrol,2014,30941.0,20.0,60.1,1.2,64.0,0,8290
Hyundai, I10,Manual,Petrol,2018,14985.0,145.0,60.1,1.0,47.0,0,7281
Opel, Astra,Manual,Diesel,2019,5009.0,145.0,58.9,1.6,81.0,2,16990
BMW, 5 Series,Semi-Auto,Diesel,2018,29482.0,,53.3,3.0,37.0,0,27980
Hyundai, I10,Manual,Petrol,2013,42709.0,20.0,61.4,1.2,76.0,0,4995
Ford, Edge,Semi-Auto,Diesel,2019,5542.0,145.0,37.2,2.0,30.0,2,32599
Audi, A4,Manual,Diesel,2017,54983.0,145.0,74.3,2.0,87.0,0,14788
VW, T-Roc,Manual,Petrol,2018,10500.0,150.0,53.3,1.5,73.0,2,22990
Ford, Fiesta,Manual,Petrol,2018,20884.0,,,1.0,74.0,3,8975
Hyundai, Santa Fe,Semi-Auto,Diesel,2019,4721.0,145.0,39.8,2.2,65.0,2,29290
Skoda, Octavia,Manual,Diesel,2018,33081.0,150.0,,2.0,96.0,0,14998
VW, Polo,Manual,Petrol,2016,21280.0,20.0,60.1,1.2,47.0,4,9190
BMW, 3 Series,Automatic,Diesel,2016,74000.0,30.0,64.2,2.0,53.0,0,13495
Ford, Focus,Automatic,Petrol,2011,87600.0,160.0,44.1,1.6,85.0,0,4500
, Tiguan,Semi-Auto,Diesel,2017,38142.0,145.0,49.6,2.0,67.0,1,22851
, Sharan,Semi-Auto,Diesel,2013,52311.0,165.0,49.6,2.0,36.0,3,12489
Ford, Focus,Manual,Diesel,2016,44106.0,20.0,,2.0,84.0,2,13498
Ford, Focus,Automatic,Petrol,2019,13000.0,145.0,50.4,1.0,61.0,0,16294
Opel, Corsa,Manual,Petrol,2019,10.0,145.0,43.5,1.4,31.0,2,10494
Ford,,Manual,Diesel,2018,16786.0,,60.1,2.0,66.0,2,17200
Ford, Focus,Manual,Diesel,2020,4000.0,145.0,74.3,1.5,34.0,0,19998
Opel, Corsa,Manual,Petrol,2017,17493.0,30.0,55.4,1.4,63.0,2,8479
Ford, EcoSport,Manual,Petrol,2017,13308.0,145.0,53.3,1.0,71.0,4,10450
Mercedes,C Class,Automatic,Petrol,2019,5325.0,145.0,44.1,2.0,59.0,3,40924
VW, Golf,Semi-Auto,Petrol,2014,17200.0,30.0,56.5,1.4,85.0,3,11250
VW, Golf,Manual,Diesel,2016,34235.0,20.0,67.3,2.0,31.0,4,15998
Toyota, GT86,Manual,Petrol,2019,995.0,145.0,33.2,2.0,94.0,3,23995
BMW, 1 Series,Semi-Auto,Diesel,2019,9200.0,145.0,67.3,2.0,57.0,,20330
Hyundai, I10,Manual,Petrol,,53910.0,20.0,61.4,1.2,49.0,1,4495
, GLC Class,Automatic,Diesel,2016,57454.0,125.0,56.5,2.1,98.0,3,21000
Mercedes, C Class,Automatic,Diesel,2018,4944.0,145.0,58.9,2.1,79.0,2,25280
Toyota, Aygo,Manual,Petrol,,12844.0,145.0,68.9,1.0,41.0,1,7490
Opel, Mokka X,Manual,Petrol,2019,9526.0,145.0,39.2,1.4,36.0,2,12994
Hyundai, I10,Automatic,Petrol,2017,12455.0,150.0,47.9,1.2,38.0,4,10999
BMW, 5 Series,Automatic,Petrol,2019,12541.0,145.0,50.4,2.0,3.140370457788869,4,21950
Audi, TT,Semi-Auto,Petrol,2015,17462.0,160.0,44.1,2.0,94.0,4,17491
Toyota, Auris,Automatic,Hybrid,2015,31745.0,0.0,,1.8,45.0,4,13600
BMW, X5,Semi-Auto,Petrol,2015,22103.0,570.0,25.4,4.4,88.0,1,44814
VW, Golf,Automatic,Other,2016,24695.0,,44.1,2.0,75.0,3,19995
VW, Polo,Manual,Petrol,2019,2275.0,145.0,52.3,1.0,39.0,4,13995
Mercedes, B Class,Manual,Diesel,2018,6423.0,,68.9,1.5,60.0,,15500
Opel,,Manual,Petrol,2018,10875.0,145.0,47.1,1.5,55.0,0,12453
VW, Golf,Manual,Diesel,2014,72187.0,0.0,88.3,1.6,36.0,1,7399
BMW, 1 Series,Semi-Auto,Petrol,2017,24999.0,200.0,39.8,3.0,86.0,3,20998
, Astra,Manual,Petrol,2016,22187.0,125.0,51.4,1.4,46.0,4,8498
Audi, Q7,Automatic,Diesel,2019,12332.0,145.0,32.8,3.0,73.0,4,43895
Ford, Focus,Manual,Petrol,2019,5600.0,145.0,,1.0,97.0,1,15495
Mercedes, S Class,Semi-Auto,Diesel,2016,31210.0,200.0,47.9,3.0,31.0,2,28980
Toyota, Prius,Automatic,Hybrid,2020,1500.0,135.0,235.0,1.8,36.0,4,27990
Opel, Mokka X,Semi-Auto,Petrol,2017,27888.0,160.0,43.5,1.4,,0,11350
Ford, Kuga,Manual,Diesel,2016,24326.0,125.0,60.1,2.0,90.0,2,11490
Toyota, Aygo,Manual,Petrol,2016,24194.0,,69.0,1.0,60.0,4,5990
Skoda, rapid,Semi-Auto,Petrol,2016,49000.0,30.0,58.9,1.4,85.0,4,7790
Hyundai, I10,Semi-Auto,Petrol,2015,41835.0,30.0,47.9,1.2,79.0,2,5998
VW, Polo,Manual,Petrol,2016,25563.0,20.0,,1.0,51.0,2,8998
Audi, A1,Manual,Petrol,2017,16434.0,145.0,70.6,1.4,51.0,4,15698
VW, Tiguan Allspace,Automatic,Diesel,2019,704.0,,,2.0,65.0,4,27495
Ford, Fiesta,Manual,Petrol,2018,20498.0,145.0,56.5,1.0,88.0,1,10999
Opel, Insignia,Manual,Diesel,2016,53033.0,20.0,68.9,1.6,35.0,4,7891
Mercedes, E Class,Automatic,Diesel,2017,58463.0,20.0,67.3,2.0,99.0,3,17989
Hyundai, I10,Manual,Petrol,2013,42000.0,20.0,61.4,1.2,57.0,0,3995
Toyota, Aygo,Manual,Petrol,2018,13658.0,145.0,56.5,1.0,60.0,0,8550
Skoda, Scala,Semi-Auto,Petrol,2019,1901.0,145.0,45.6,1.5,35.0,1,17485
Opel, Mokka X,Semi-Auto,Petrol,2017,12441.0,160.0,43.5,1.4,46.0,3,13698
Toyota, Yaris,Manual,Petrol,2017,23277.0,30.0,55.0,1.3,52.0,2,9498
Ford, EcoSport,Manual,Petrol,2017,22996.0,125.0,52.3,1.0,83.0,0,10180
Mercedes, E Class,Semi-Auto,Diesel,2018,22264.0,145.0,65.7,2.0,43.0,1,21386
Mercedes, GLA Class,Semi-Auto,Diesel,2018,15728.0,145.0,56.5,2.1,35.0,3,21980
Opel, Viva,Manual,Petrol,2019,83688.65539191502,145.0,46.3,1.0,99.0,4,7290
Skoda, Octavia,Automatic,Diesel,2018,5475.0,145.0,67.3,2.0,90.0,0,15000
Ford, Focus,Manual,Diesel,2015,30408.0,20.0,67.3,1.6,97.0,2,9495
Ford, Fiesta,Manual,Petrol,2018,,145.0,40.3,1.5,91.0,0,15900
VW, Up,Manual,Petrol,2019,10.0,145.0,,1.0,37.0,3,9790
Toyota, Aygo,Manual,Petrol,2015,16999.0,0.0,,1.0,37.0,0,6790
BMW, 8 Series,Semi-Auto,Petrol,2019,2881.0,150.0,31.7,3.0,90.0,0,59694
BMW, 7 Series,Semi-Auto,Diesel,2019,6249.0,145.0,42.2,3.0,47.0,0,46500
BMW, 3 Series,,Hybrid,2019,8680.0,135.0,8.8,2.0,83.0,0,33999
Toyota, Yaris,Manual,Petrol,2017,14020.0,145.0,58.9,1.5,61.0,2,10298
Ford, Focus,Manual,Petrol,2018,12180.0,145.0,,1.0,3.2257436177114727,3,13620
Hyundai, Tucson,Manual,Diesel,2017,9146.0,150.0,61.7,1.7,32.0,0,14498
Ford, C-MAX,Manual,Petrol,2016,30608.0,,44.1,1.6,46.0,1,9399
Audi, A6,Automatic,Diesel,2015,79197.0,20.0,67.3,2.0,88.0,4,13990
Ford, EcoSport,Manual,Diesel,2018,20735.0,145.0,64.2,1.5,66.0,0,15695
BMW, 1 Series,Manual,Petrol,2016,41718.0,125.0,53.3,1.5,41.0,2,10690
Mercedes, GLA Class,Automatic,Diesel,2015,54500.0,30.0,62.8,2.1,,3,14500
Toyota, C-HR,Automatic,Hybrid,2017,27893.0,135.0,74.3,1.8,62.0,2,19298
Audi, Q3,Manual,Petrol,2019,6000.0,145.0,40.9,1.5,44.0,,24990
VW, Polo,Manual,Petrol,2020,10.0,145.0,52.3,1.0,88.0,2,16480
Audi, Q5,Semi-Auto,Diesel,2017,34000.0,145.0,56.5,2.0,81.0,0,23995
VW, Touareg,Automatic,Diesel,2019,99.0,145.0,34.5,3.0,33.0,1,41995
Toyota, C-HR,Automatic,Hybrid,2017,9000.0,135.0,74.3,1.8,1.638913092023202,0,20491
VW, Golf,Semi-Auto,Petrol,2019,5127.0,145.0,,1.5,92.0,1,20646
Skoda, Fabia,Manual,Petrol,2014,35929.0,125.0,53.3,1.2,85.0,2,6990
Audi, A5,Automatic,Diesel,2017,24193.0,,62.8,2.0,52.0,4,23830
BMW, 2 Series,Semi-Auto,Petrol,2020,11.0,145.0,50.4,1.5,84.0,4,21890
Mercedes, C Class,Semi-Auto,Diesel,2019,1000.0,145.0,64.2,2.0,91.0,4,32069
Ford, Focus,Manual,Diesel,2015,88220.0,0.0,,1.5,49.0,4,6500
Opel, Corsa,Manual,Petrol,2019,100.0,145.0,43.5,1.4,86.0,4,9990
Ford, Fiesta,Manual,Petrol,2017,16247.0,145.0,65.7,1.0,36.0,1,10020
Audi, Q2,Semi-Auto,Petrol,2019,3049.0,150.0,43.5,1.5,78.0,,22995
Opel, Corsa,Manual,Petrol,2018,14867.0,,55.4,1.4,96.0,3,8000
Hyundai, I10,Manual,Petrol,2015,20905.0,30.0,,1.2,72.0,2,6620
Ford, Fiest,Manual,Petrol,2018,9288.0,145.0,56.5,1.0,38.0,4,12500
VW, Polo,Manual,Petrol,2016,,20.0,61.4,1.4,56.0,2,12790
Ford, Kuga,Manual,Diesel,2019,20605.0,145.0,54.3,1.5,92.0,2,14995
Audi, A6,Automatic,Diesel,,80232.0,,61.4,2.0,94.0,2,15799
Mercedes, B Class,Semi-Auto,Diesel,2020,1989.0,,55.4,2.0,43.0,4,24980
Opel, Insignia,Automatic,Diesel,2018,34647.0,145.0,55.4,1.6,95.0,2,13000
Ford, Fiesta,Manual,Petrol,2019,13600.0,145.0,58.9,1.0,52.0,1,13895
Audi, A3,Manual,Petrol,2017,17800.0,150.0,54.3,1.5,66.0,0,19995
Ford, Fiesta,Manual,Petrol,2016,29812.0,0.0,65.7,1.0,39.0,2,11000
Opel, Mokka X,Manual,Petrol,2017,16595.0,200.0,42.2,1.6,70.0,3,10199
Ford, Focus,Manual,Diesel,2019,11795.0,145.0,74.3,1.5,61.0,1,15810
Opel, Grandland X,Manual,Diesel,2019,18958.0,,,1.5,98.0,3,17871
Opel, Astra,Manual,Petrol,2018,,145.0,,1.0,82.0,0,10395
Opel, Astra,Manual,Petrol,2019,4202.0,145.0,,1.4,67.0,0,13990
BMW, X1,Automatic,Diesel,2019,123.0,145.0,60.1,2.0,52.0,1,28410
Opel, Corsa,Manual,Petrol,2015,30657.0,125.0,54.3,1.4,89.0,0,6498
VW, Passat,Automatic,Diesel,2019,8455.0,145.0,,2.0,40.0,1,24000
VW, Golf,Manual,Diesel,2019,10600.0,145.0,57.7,1.6,70.0,3,14950
Skoda, Octavia,Manual,Diesel,2015,75000.0,0.0,,1.6,85.0,2,7775
Ford, Kuga,Manual,Diesel,2015,81547.0,,54.3,2.0,95.0,3,10620
Hyundai, I10,Manual,Petrol,,9932.0,145.0,60.1,1.0,69.0,4,8470
VW, Passat,Manual,Petrol,2018,18400.0,,54.3,1.4,40.0,2,19490
Ford, Mondeo,Manual,Petrol,2015,10599.0,,,1.5,63.0,0,12941
BMW, X2,Semi-Auto,Diesel,2018,,,58.9,2.0,30.0,2,23450
VW, Golf,,Diesel,2016,33500.0,20.0,68.9,2.0,45.0,1,13995
Toyota, Corolla,Automatic,Hybrid,2019,7841.0,,78.5,1.8,41.0,1,19795
Toyota, Auris,Automatic,Hybrid,2013,34230.0,0.0,72.4,1.8,59.0,1,9988
Opel, Insignia,Manual,Petrol,2018,48400.0,145.0,47.1,1.5,44.0,2,12999
Ford, Fiesta,Manual,Petrol,2017,8937.0,,65.7,1.0,42.0,1,11500
VW, Tiguan,Manual,Diesel,2016,88407.0,145.0,53.3,2.0,82.0,1,11698
Ford, Ka+,Manual,Petrol,2017,7000.0,,57.7,1.2,59.0,0,7491
Opel, Corsa,Manual,Petrol,2013,43101.0,125.0,,1.2,74.0,2,4998
VW, Polo,Manual,Diesel,2015,44949.0,0.0,,1.4,53.0,3,8500
BMW, X1,Automatic,Diesel,2016,46344.0,145.0,55.4,2.0,64.0,3,16798
Audi, A3,Manual,Diesel,2016,74924.0,,67.3,2.0,70.0,0,10500
Audi, A3,Manual,Petrol,2014,34250.0,30.0,55.4,1.4,84.0,0,10202
Mercedes, B Class,Automatic,Diesel,2012,57386.0,125.0,64.2,1.8,88.0,0,7499
Audi, A4,Manual,Diesel,2017,72816.0,0.0,74.3,2.0,84.0,1,12898
Hyundai, I30,Semi-Auto,Petrol,2020,2083.0,145.0,,1.4,43.0,1,19890
Ford, Fiesta,,Petrol,2018,29874.0,145.0,65.7,1.0,61.0,1,10020
Opel, Zafira,Automatic,Petrol,2016,22085.0,200.0,40.9,1.4,68.0,4,11611
BMW, 1 Series,Manual,Diesel,2014,94420.0,30.0,65.7,2.0,88.0,0,8000
Audi, Q7,Semi-Auto,Diesel,2019,4959.0,145.0,44.1,3.0,89.0,3,55490
Ford, Focus,Manual,Diesel,2019,14316.0,150.0,,1.5,78.0,3,14498
Opel, mokka,Manual,Diesel,2013,70671.0,125.0,,1.7,98.0,1,6490
Opel, Viva,Manual,Petrol,2018,9121.0,,46.3,1.0,79.0,1,7995
Opel, mokka x,Manual,Petrol,2018,83688.65539191502,145.0,47.1,1.4,84.0,1,11245
VW, Tiguan,Semi-Auto,Diesel,2018,20692.0,,57.6,2.0,42.0,2,22990
VW, tiguan allspace,Manual,Diesel,2020,407.0,,46.3,0.1864248827577972,31.0,1,25950
Ford, Fiesta,Manual,Petrol,2016,29699.0,125.0,54.3,1.2,95.0,4,6950
BMW, X1,Manual,Diesel,2016,29890.0,125.0,60.1,2.0,,3,15037
VW, Sharan,Manual,Diesel,2017,13096.0,145.0,56.5,2.0,92.0,1,19932
Ford, Fiesta,Manual,Petrol,2018,19277.0,145.0,56.5,1.0,35.0,4,10991
Audi, Q2,Automatic,Petrol,2019,6000.0,145.0,42.2,1.5,48.0,4,24444
Ford, Fiesta,Manual,Petrol,2018,14017.0,145.0,65.7,1.0,60.0,2,10999
Mercedes, C Class,Automatic,Petrol,2017,65891.0,265.0,35.3,3.0,53.0,1,25995
Mercedes, cl class,Automatic,Diesel,2014,29211.0,30.0,62.8,2.1,90.0,4,17350
Toyota, Ayg,Manual,Petrol,2017,30635.0,0.0,,1.0,74.0,0,7700
Audi, Q3,Semi-Auto,Petrol,2020,4432.0,145.0,39.2,1.5,46.0,2,32881
Ford, Kuga,Manual,Diesel,2014,60000.0,200.0,47.9,2.0,63.0,1,8975
Hyundai, I10,,Petrol,2018,7804.0,145.0,,1.2,71.0,1,9633
Ford, Focus,Manual,Diesel,2019,6696.0,,70.6,2.0,89.0,3,18999
VW, Golf,Semi-Auto,Diesel,2019,10230.0,145.0,52.3,2.9857934392613865,52.0,1,17217
BMW, 1 Series,Manual,Diesel,2016,22265.0,20.0,70.6,1.5,44.0,4,14298
Audi, A5,Automatic,Petrol,2015,52838.0,260.0,35.8,3.0,88.0,4,20490
Skoda, Octavia,Manual,Diesel,2018,28386.0,150.0,67.3,1.6,62.0,0,12998
Audi, A3,Manual,Petrol,2018,23611.0,145.0,60.1,1.0,78.0,3,18500
Audi,,Semi-Auto,Diesel,2017,31605.0,145.0,57.6,2.0,42.0,0,19655
Opel, Grandland X,Automatic,Diesel,2018,15885.0,,65.7,1.6,30.0,1,14295
VW, Arteon,Semi-Auto,Diesel,2019,6183.0,145.0,50.4,2.0,43.0,0,23795
Ford, Fiesta,Manual,Petrol,,9957.0,145.0,58.9,1.0,99.0,3,13998
Skoda, Superb,Manual,Diesel,2017,18674.0,145.0,64.2,2.0,87.0,4,15495
Mercedes, GLC Class,Semi-Auto,Diesel,2018,26500.0,145.0,56.5,2.1,40.0,0,29062
Mercedes, C Class,Automatic,Diesel,2018,37763.0,145.0,61.4,2.1,48.0,2,18699
VW, Golf,Manual,Petrol,2017,32706.0,145.0,54.3,1.4,68.0,4,14000
Opel, Grandland X,Automatic,Diesel,2019,8080.0,150.0,57.7,1.5,30.0,2,15995
BMW, 4 Series,Semi-Auto,Diesel,2018,29435.0,145.0,49.6,3.0,64.0,3,24800
Audi, A3,Manual,Diesel,2016,41165.0,0.0,83.1,1.6,70.0,4,10799
Mercedes, V Class,Manual,Diesel,2018,23183.0,145.0,46.3,2.1,50.0,4,19998
Ford, Fiesta,Manual,Petrol,2015,12647.0,0.0,,1.0,,0,8295
Mercedes, S Class,Automatic,Hybrid,2017,22657.0,20.0,61.4,,54.0,4,36890
Skoda, FABIA,Semi-Auto,Petrol,2019,13120.0,145.0,60.1,1.0,78.0,1,12995
Ford, Kuga,Manual,Diesel,2014,29989.0,145.0,53.3,2.0,73.0,3,10495
Skoda, Fabia,Manual,Petrol,2019,14010.0,145.0,57.7,1.0,35.0,2,8898
Ford, Focus,Manual,Diesel,2017,29301.0,0.0,74.3,1.5,32.0,2,10150
Audi, A1,Manual,Petrol,2017,23785.0,145.0,70.6,1.4,62.0,1,15800
Ford, Fiesta,Manual,Petrol,2018,26629.0,145.0,56.5,1.0,43.0,0,10060
Mercedes, C Class,Semi-Auto,Diesel,2016,31467.0,30.0,64.2,2.1,81.0,2,19750
Audi, A1,Automatic,Petrol,2020,7.0,145.0,44.8,1.0,77.0,4,21400
Mercedes, GLA Class,Manual,Petrol,2019,20854.0,145.0,40.9,1.6,56.0,2,17600
Mercedes, CL Class,Semi-Auto,Diesel,2019,13780.0,145.0,,2.2,74.0,4,25495
Mercedes, C Class,Semi-Auto,Diesel,2019,13.0,,64.2,2.0,72.0,2,31000
Audi,,Automatic,Diesel,2020,500.0,145.0,47.1,2.0,53.0,4,35490
BMW, X3,Semi-Auto,Diesel,2018,10488.0,145.0,48.7,3.0,93.0,4,32340
Toyota, AYGO,Manual,Petrol,2017,26114.0,150.0,69.0,1.0,68.0,3,6995
Ford, Fiesta,Manual,Petrol,2016,32560.0,,62.8,1.0,71.0,0,8000
Hyundai, Santa Fe,Automatic,Diesel,2019,6363.0,145.0,42.8,2.2,55.0,3,33995
BMW, 3 SERIES,Semi-Auto,Diesel,,26200.0,,51.4,3.0,78.0,4,19895
VW, Polo,Semi-Auto,Petrol,2019,2189.0,145.0,39.8,2.0,74.0,4,19490
, Crossland X,Manual,Diesel,2019,4963.0,145.0,60.1,,64.0,2,15495
Ford, FIESTA,Manual,Petrol,2019,8299.0,145.0,58.9,1.0,57.0,1,13995
Toyota, C-HR,Automatic,Hybrid,2019,8152.0,135.0,74.3,1.8,73.0,1,26995
Audi, Q7,Automatic,Diesel,2017,34003.0,145.0,47.9,3.0,48.0,1,37950
Opel, Corsa,Manual,Petrol,2013,84094.0,125.0,51.4,1.2,54.0,1,3999
Ford, Fiesta,Manual,Diesel,2017,19059.0,145.0,88.3,1.5,45.0,4,10399
Ford, Focus,Semi-Auto,Petrol,2017,17525.0,125.0,51.4,1.0,73.0,,13000
Opel, Ada,,Petrol,2016,32629.0,125.0,52.3,1.4,37.0,,7241
Opel, Corsa,Manual,Petrol,2018,20505.0,145.0,55.4,1.4,86.0,2,8001
VW, Golf,Manual,Diesel,2020,5011.0,145.0,57.7,1.6,81.0,2,18995
VW, Up,Manual,Petrol,2020,1000.0,145.0,54.3,1.0,45.0,2,10500
Skoda, Octavia,Semi-Auto,Diesel,2019,4500.0,145.0,64.2,2.0,44.0,3,17295
Mercedes, C Class,Automatic,Petrol,2019,10405.0,150.0,47.1,1.5,45.0,2,25999
BMW, X1,Semi-Auto,Diesel,2017,20570.0,145.0,55.4,2.0,79.0,4,19995
Audi, a3,Manual,Diesel,2016,96300.0,20.0,68.9,2.0,59.0,3,8000
Ford, Kuga,Manual,Petrol,2017,6318.0,160.0,45.6,1.5,95.0,3,12998
Mercedes, A Class,Semi-Auto,Diesel,2018,14909.0,145.0,65.7,1.5,53.0,1,16980
Opel, Mokka X,Manual,Petrol,2016,31474.0,,42.2,1.6,69.0,3,9904
Ford, fiesta,Semi-Auto,Petrol,2018,27301.0,145.0,54.3,1.0,46.0,0,11200
Opel, Insignia,Manual,Petrol,2019,4070.0,145.0,44.8,1.5,78.0,2,13495
BMW, 3 Series,Semi-Auto,Diesel,2018,13909.0,145.0,60.1,2.0,89.0,1,19895
VW, Golf,Semi-Auto,Diesel,2016,43086.0,30.0,62.8,2.0,57.0,4,15698
VW, Polo,Manual,Petrol,2020,1000.0,150.0,48.7,1.0,74.0,0,15990
